SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,B_paper
40,3,6,1,0,Alabama,Alabama,4779736,0
50,3,6,1,1,Alabama,Autauga County,54571,0
50,3,6,1,3,Alabama,Baldwin County,182265,0
50,3,6,1,5,Alabama,Barbour County,27457,0
50,3,6,1,7,Alabama,Bibb County,22915,0
50,3,6,1,9,Alabama,Blount County,57322,0
50,3,6,1,11,Alabama,Bullock County,10914,0
50,3,6,1,13,Alabama,Butler County,20947,0
50,3,6,1,15,Alabama,Calhoun County,118572,0
50,3,6,1,17,Alabama,Chambers County,34215,0
50,3,6,1,19,Alabama,Cherokee County,25989,0
50,3,6,1,21,Alabama,Chilton County,43643,0
50,3,6,1,23,Alabama,Choctaw County,13859,0
50,3,6,1,25,Alabama,Clarke County,25833,0
50,3,6,1,27,Alabama,Clay County,13932,0
50,3,6,1,29,Alabama,Cleburne County,14972,0
50,3,6,1,31,Alabama,Coffee County,49948,0
50,3,6,1,33,Alabama,Colbert County,54428,0
50,3,6,1,35,Alabama,Conecuh County,13228,0
50,3,6,1,37,Alabama,Coosa County,11539,0
50,3,6,1,39,Alabama,Covington County,37765,0
50,3,6,1,41,Alabama,Crenshaw County,13906,0
50,3,6,1,43,Alabama,Cullman County,80406,0
50,3,6,1,45,Alabama,Dale County,50251,0
50,3,6,1,47,Alabama,Dallas County,43820,0
50,3,6,1,49,Alabama,DeKalb County,71109,0
50,3,6,1,51,Alabama,Elmore County,79303,0
50,3,6,1,53,Alabama,Escambia County,38319,0
50,3,6,1,55,Alabama,Etowah County,104430,0
50,3,6,1,57,Alabama,Fayette County,17241,0
50,3,6,1,59,Alabama,Franklin County,31704,0
50,3,6,1,61,Alabama,Geneva County,26790,0
50,3,6,1,63,Alabama,Greene County,9045,0
50,3,6,1,65,Alabama,Hale County,15760,0
50,3,6,1,67,Alabama,Henry County,17302,0
50,3,6,1,69,Alabama,Houston County,101547,0
50,3,6,1,71,Alabama,Jackson County,53227,0
50,3,6,1,73,Alabama,Jefferson County,658466,0
50,3,6,1,75,Alabama,Lamar County,14564,0
50,3,6,1,77,Alabama,Lauderdale County,92709,0
50,3,6,1,79,Alabama,Lawrence County,34339,0
50,3,6,1,81,Alabama,Lee County,140247,0
50,3,6,1,83,Alabama,Limestone County,82782,0
50,3,6,1,85,Alabama,Lowndes County,11299,0
50,3,6,1,87,Alabama,Macon County,21452,0
50,3,6,1,89,Alabama,Madison County,334811,0
50,3,6,1,91,Alabama,Marengo County,21027,0
50,3,6,1,93,Alabama,Marion County,30776,0
50,3,6,1,95,Alabama,Marshall County,93019,0
50,3,6,1,97,Alabama,Mobile County,412992,0
50,3,6,1,99,Alabama,Monroe County,23068,0
50,3,6,1,101,Alabama,Montgomery County,229363,0
50,3,6,1,103,Alabama,Morgan County,119490,0
50,3,6,1,105,Alabama,Perry County,10591,0
50,3,6,1,107,Alabama,Pickens County,19746,0
50,3,6,1,109,Alabama,Pike County,32899,0
50,3,6,1,111,Alabama,Randolph County,22913,0
50,3,6,1,113,Alabama,Russell County,52947,0
50,3,6,1,115,Alabama,St. Clair County,83593,0
50,3,6,1,117,Alabama,Shelby County,195085,0
50,3,6,1,119,Alabama,Sumter County,13763,0
50,3,6,1,121,Alabama,Talladega County,82291,0
50,3,6,1,123,Alabama,Tallapoosa County,41616,0
50,3,6,1,125,Alabama,Tuscaloosa County,194656,0
50,3,6,1,127,Alabama,Walker County,67023,0
50,3,6,1,129,Alabama,Washington County,17581,0
50,3,6,1,131,Alabama,Wilcox County,11670,0
50,3,6,1,133,Alabama,Winston County,24484,0
40,4,9,2,0,Alaska,Alaska,710231,0
50,4,9,2,13,Alaska,Aleutians East Borough,3141,0
50,4,9,2,16,Alaska,Aleutians West Census Area,5561,0
50,4,9,2,20,Alaska,Anchorage Municipality,291826,0
50,4,9,2,50,Alaska,Bethel Census Area,17013,0
50,4,9,2,60,Alaska,Bristol Bay Borough,997,0
50,4,9,2,68,Alaska,Denali Borough,1826,0
50,4,9,2,70,Alaska,Dillingham Census Area,4847,0
50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581,0
50,4,9,2,100,Alaska,Haines Borough,2508,0
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150,0
