"SECTOR","STATE","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Biogenics - Vegetation and Soil","TX","Volatile Organic Compounds","CAP","4881710.99","TON"
"Fires - Wildfires","CA","Carbon Monoxide","CAP","3239366.10177","TON"
"Biogenics - Vegetation and Soil","CA","Volatile Organic Compounds","CAP","2668490.988","TON"
"Fires - Wildfires","AK","Carbon Monoxide","CAP","2092559.777559","TON"
"Biogenics - Vegetation and Soil","AZ","Volatile Organic Compounds","CAP","1850671.4","TON"
"Biogenics - Vegetation and Soil","GA","Volatile Organic Compounds","CAP","1779264.26","TON"
"Biogenics - Vegetation and Soil","AL","Volatile Organic Compounds","CAP","1678412.27","TON"
"Biogenics - Vegetation and Soil","FL","Volatile Organic Compounds","CAP","1663392.82","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","FL","Carbon Monoxide","CAP","1581376.93892","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","TX","Carbon Monoxide","CAP","1533138.96810981","TON"
"Biogenics - Vegetation and Soil","MS","Volatile Organic Compounds","CAP","1515262.82","TON"
"Biogenics - Vegetation and Soil","AR","Volatile Organic Compounds","CAP","1339614.04","TON"
"Biogenics - Vegetation and Soil","LA","Volatile Organic Compounds","CAP","1286531.94","TON"
"Biogenics - Vegetation and Soil","NM","Volatile Organic Compounds","CAP","1256513.85","TON"
"Fires - Wildfires","WA","Carbon Monoxide","CAP","1238708.057704611","TON"
"Fires - Wildfires","OR","Carbon Monoxide","CAP","1110698.70165","TON"
"Biogenics - Vegetation and Soil","OR","Volatile Organic Compounds","CAP","1109626.8","TON"
"Industrial Processes - Oil & Gas Production","TX","Volatile Organic Compounds","CAP","1095199.88156040716","TON"
"Biogenics - Vegetation and Soil","NC","Volatile Organic Compounds","CAP","1086369.27","TON"
"Biogenics - Vegetation and Soil","NV","Volatile Organic Compounds","CAP","1067343.98","TON"
"Biogenics - Vegetation and Soil","OK","Volatile Organic Compounds","CAP","1036171.6","TON"
"Biogenics - Vegetation and Soil","MO","Volatile Organic Compounds","CAP","1001575.412","TON"
"Fires - Prescribed Fires","FL","Carbon Monoxide","CAP","977972.5686166","TON"
"Mobile - Non-Road Equipment - Gasoline","FL","Carbon Monoxide","CAP","928822.406325087700216179168132","TON"
"Biogenics - Vegetation and Soil","TX","Carbon Monoxide","CAP","910301.588","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CA","Carbon Monoxide","CAP","905252.2883","TON"
"Biogenics - Vegetation and Soil","SC","Volatile Organic Compounds","CAP","896823.9","TON"
"Biogenics - Vegetation and Soil","MT","Volatile Organic Compounds","CAP","891011.13","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","GA","Carbon Monoxide","CAP","879570.77416262","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NC","Carbon Monoxide","CAP","877118.5145631","TON"
"Dust - Unpaved Road Dust","MO","PM10 Primary (Filt + Cond)","CAP","847678.977627","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","IL","Carbon Monoxide","CAP","844170.02757355","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OH","Carbon Monoxide","CAP","843367.2566788","TON"
"Biogenics - Vegetation and Soil","TN","Volatile Organic Compounds","CAP","801863.94","TON"
"Biogenics - Vegetation and Soil","VA","Volatile Organic Compounds","CAP","801123.597","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MI","Carbon Monoxide","CAP","790728.96761083","TON"
"Fires - Wildfires","CA","Volatile Organic Compounds","CAP","761296.977258","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NY","Carbon Monoxide","CAP","756982.6859","TON"
"Biogenics - Vegetation and Soil","UT","Volatile Organic Compounds","CAP","745398.54","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","PA","Carbon Monoxide","CAP","716641.12179629","TON"
"Biogenics - Vegetation and Soil","ID","Volatile Organic Compounds","CAP","715839.29","TON"
"Biogenics - Vegetation and Soil","CO","Volatile Organic Compounds","CAP","714484.334","TON"
"Fires - Prescribed Fires","LA","Carbon Monoxide","CAP","713282.3993106","TON"
"Biogenics - Vegetation and Soil","WA","Volatile Organic Compounds","CAP","695220.23","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","Carbon Monoxide","CAP","678398.5514269734811012046484859","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","AL","Carbon Monoxide","CAP","669182.6328983","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","TN","Carbon Monoxide","CAP","668949.91479641","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","IN","Carbon Monoxide","CAP","666555.62315802","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","Carbon Monoxide","CAP","664903.55313539","TON"
"Fires - Prescribed Fires","MO","Carbon Monoxide","CAP","655655.33817","TON"
"Fires - Prescribed Fires","AL","Carbon Monoxide","CAP","649782.132133","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","WA","Carbon Monoxide","CAP","649444.5343991","TON"
"Biogenics - Vegetation and Soil","KY","Volatile Organic Compounds","CAP","619180.48","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MO","Carbon Monoxide","CAP","614178.69636948","TON"
"Mobile - Non-Road Equipment - Gasoline","CA","Carbon Monoxide","CAP","610353.61384239624","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MN","Carbon Monoxide","CAP","577307.070419","TON"
"Mobile - Non-Road Equipment - Gasoline","TX","Carbon Monoxide","CAP","561897.3372068614628319125004961","TON"
"Biogenics - Vegetation and Soil","WY","Volatile Organic Compounds","CAP","539514.9","TON"
