StateShort,StateID,CountyID,CountyName,CensusID,State
AL,1,1,Autauga,6,Alabama
AL,1,3,Baldwin,6,Alabama
AL,1,5,Barbour,6,Alabama
AL,1,7,Bibb,6,Alabama
AL,1,9,Blount,6,Alabama
AL,1,11,Bullock,6,Alabama
AL,1,13,Butler,6,Alabama
AL,1,15,Calhoun,6,Alabama
AL,1,17,Chambers,6,Alabama
AL,1,19,Cherokee,6,Alabama
AL,1,21,Chilton,6,Alabama
AL,1,23,Choctaw,6,Alabama
AL,1,25,Clarke,6,Alabama
AL,1,27,Clay,6,Alabama
AL,1,29,Cleburne,6,Alabama
AL,1,31,Coffee,6,Alabama
AL,1,33,Colbert,6,Alabama
AL,1,35,Conecuh,6,Alabama
AL,1,37,Coosa,6,Alabama
AL,1,39,Covington,6,Alabama
AL,1,41,Crenshaw,6,Alabama
AL,1,43,Cullman,6,Alabama
AL,1,45,Dale,6,Alabama
AL,1,47,Dallas,6,Alabama
AL,1,49,DeKalb,6,Alabama
AL,1,51,Elmore,6,Alabama
AL,1,53,Escambia,6,Alabama
AL,1,55,Etowah,6,Alabama
AL,1,57,Fayette,6,Alabama
AL,1,59,Franklin,6,Alabama
AL,1,61,Geneva,6,Alabama
AL,1,63,Greene,6,Alabama
AL,1,65,Hale,6,Alabama
AL,1,67,Henry,6,Alabama
AL,1,69,Houston,6,Alabama
AL,1,71,Jackson,6,Alabama
AL,1,73,Jefferson,6,Alabama
AL,1,75,Lamar,6,Alabama
AL,1,77,Lauderdale,6,Alabama
AL,1,79,Lawrence,6,Alabama
AL,1,81,Lee,6,Alabama
AL,1,83,Limestone,6,Alabama
AL,1,85,Lowndes,6,Alabama
AL,1,87,Macon,6,Alabama
AL,1,89,Madison,6,Alabama
AL,1,91,Marengo,6,Alabama
AL,1,93,Marion,6,Alabama
AL,1,95,Marshall,6,Alabama
AL,1,97,Mobile,6,Alabama
AL,1,99,Monroe,6,Alabama
AL,1,101,Montgomery,6,Alabama
AL,1,103,Morgan,6,Alabama
AL,1,105,Perry,6,Alabama
AL,1,107,Pickens,6,Alabama
AL,1,109,Pike,6,Alabama
AL,1,111,Randolph,6,Alabama
AL,1,113,Russell,6,Alabama
AL,1,115,St Clair,6,Alabama
AL,1,117,Shelby,6,Alabama
AL,1,119,Sumter,6,Alabama
AL,1,121,Talladega,6,Alabama
AL,1,123,Tallapoosa,6,Alabama
AL,1,125,Tuscaloosa,6,Alabama
AL,1,127,Walker,6,Alabama
AL,1,129,Washington,6,Alabama
AL,1,131,Wilcox,6,Alabama
AL,1,133,Winston,6,Alabama
AK,2,13,Aleutians East,9,Alaska
AK,2,16,Aleutians West,9,Alaska
AK,2,20,Anchorage,9,Alaska
AK,2,50,Bethel,9,Alaska
AK,2,60,Bristol Bay,9,Alaska
AK,2,68,Denali,9,Alaska
AK,2,70,Dillingham,9,Alaska
AK,2,90,Fairbanks North Star,9,Alaska
AK,2,100,Haines,9,Alaska
AK,2,105,Hoonah-Angoon,9,Alaska
AK,2,110,Juneau,9,Alaska
AK,2,122,Kenai Peninsula,9,Alaska
AK,2,130,Ketchikan Gateway,9,Alaska
AK,2,150,Kodiak Island,9,Alaska
AK,2,164,Lake and Peninsula,9,Alaska
AK,2,170,Matanuska-Susitna,9,Alaska
AK,2,180,Nome,9,Alaska
AK,2,185,North Slope,9,Alaska
AK,2,188,Northwest Arctic,9,Alaska
AK,2,195,Petersburg,9,Alaska
AK,2,198,Prince of Wales-Hyder,9,Alaska
AK,2,220,Sitka,9,Alaska
AK,2,230,Skagway,9,Alaska
AK,2,240,Southeast Fairbanks,9,Alaska
AK,2,261,Valdez-Cordova,9,Alaska
AK,2,270,Wade Hampton,9,Alaska
AK,2,275,Wrangell,9,Alaska
AK,2,282,Yakutat,9,Alaska
AK,2,290,Yukon-Koyukuk,9,Alaska
