SEC,NERC,CR1,CR2,CR3,CR4,CR5,CR6,CR7,CR8,CR9
residential,NR1,0,0,0,0,0,0,123856411,0,0
residential,NR2,0,0,0,0,109846749,0,0,0,0
residential,NR3,0,0,5923988,0,0,0,0,0,0
residential,NR4,0,0,5500532,56192377,0,0,0,286313,0
residential,NR5,47211525,5165,0,0,0,0,0,0,0
residential,NR6,0,13986209,0,0,0,0,0,0,0
residential,NR7,0,9831128,0,0,0,0,0,0,0
residential,NR8,0,26228268,0,0,0,0,0,0,0
residential,NR9,0,67749720,0,0,31396128,0,0,0,0
residential,NR10,0,0,30693206,0,0,0,0,0,0
residential,NR11,0,14262341,128989599,0,24195961,3829948,0,0,0
residential,NR12,0,0,0,494,0,6014899,42658365,0,0
residential,NR13,0,0,16851135,25655159,0,0,0,0,0
residential,NR14,0,0,0,0,61782408,32723841,0,0,0
residential,NR15,0,0,0,0,3418705,79212740,0,0,0
residential,NR16,0,0,0,0,125067802,8283,0,0,0
residential,NR17,0,0,0,22436972,0,0,263121,240,0
residential,NR18,0,0,0,1650987,0,0,45331783,1419682,0
residential,NR19,0,0,0,0,0,0,1983010,46684204,1821538
residential,NR20,0,0,0,0,0,0,0,0,86764570
residential,NR21,0,0,0,0,0,0,0,26404306,54475143
residential,NR22,0,0,0,972775,0,0,0,18993197,0
commercial,NR1,0,0,0,0,0,0,121708865,0,0
commercial,NR2,0,0,0,0,88690744,0,0,0,0
commercial,NR3,0,0,8350033,0,0,0,0,0,0
commercial,NR4,0,0,4603381,53544975,0,0,0,369010,0
commercial,NR5,53107038,1830,0,0,0,0,0,0,0
commercial,NR6,0,40504764,0,0,0,0,0,0,0
commercial,NR7,0,10442511,0,0,0,0,0,0,0
commercial,NR8,0,26183953,0,0,0,0,0,0,0
commercial,NR9,0,67553989,0,0,40827402,0,0,0,0
commercial,NR10,0,0,34949523,0,0,0,0,0,0
commercial,NR11,0,13355774,119475790,0,15963497,3131722,0,0,0
commercial,NR12,0,0,0,253,0,5563558,30425833,0,0
commercial,NR13,0,0,15481374,18634438,0,0,0,0,0
commercial,NR14,0,0,0,0,49921864,21844580,0,0,0
commercial,NR15,0,0,0,0,1642775,59217453,0,0,0
commercial,NR16,0,0,0,0,109830780,469,0,0,0
commercial,NR17,0,0,0,25396698,0,0,157223,1873,0
commercial,NR18,0,0,0,2120530,0,0,41068890,2277132,0
commercial,NR19,0,0,0,0,0,0,3000866,41898857,1576553
commercial,NR20,0,0,0,0,0,0,0,0,117313400
commercial,NR21,0,0,0,0,0,0,0,27323481,45683837
commercial,NR22,0,0,0,1019385,0,0,0,22027944,0
industrial,NR1,0,0,0,0,0,0,86852879,0,0
industrial,NR2,0,0,0,0,14547378,0,0,0,0
industrial,NR3,0,0,7792042,0,0,0,0,0,0
industrial,NR4,0,0,4059106,63971282,0,0,0,452532,0
industrial,NR5,19107433,0,0,0,0,0,0,0,0
industrial,NR6,0,677888,0,0,0,0,0,0,0
industrial,NR7,0,0,0,0,0,0,0,0,0
industrial,NR8,0,17306313,0,0,0,0,0,0,0
industrial,NR9,0,42793139,0,0,5441988,0,0,0,0
industrial,NR10,0,0,28119519,0,0,0,0,0,0
industrial,NR11,0,13059945,146512391,0,21268123,3632612,0,0,0
industrial,NR12,0,0,0,0,0,2409873,51539821,0,0
industrial,NR13,0,0,14021787,12570225,0,0,0,0,0
industrial,NR14,0,0,0,0,33409707,32727543,0,0,0
industrial,NR15,0,0,0,0,762701,68641829,0,0,0
industrial,NR16,0,0,0,0,66270782,0,0,0,0
industrial,NR17,0,0,0,14957133,0,0,236597,0,0
industrial,NR18,0,0,0,1467206,0,0,38696771,3522888,0
industrial,NR19,0,0,0,0,0,0,986946,27868009,99095
industrial,NR20,0,0,0,0,0,0,0,0,52490345
industrial,NR21,0,0,0,0,0,0,0,34962635,40976240
industrial,NR22,0,0,0,541492,0,0,0,17772479,0
transportation,NR1,0,0,0,0,0,0,332590641,0,0
transportation,NR2,0,0,0,0,213179624,0,0,0,0
transportation,NR3,0,0,22056845,0,0,0,0,0,0
transportation,NR4,0,0,14183643,173732347,0,0,0,1107855,0
transportation,NR5,119983459,6995,0,0,0,0,0,0,0
transportation,NR6,0,57813576,0,0,0,0,0,0,0
transportation,NR7,0,20767681,0,0,0,0,0,0,0
transportation,NR8,0,69432986,0,0,0,0,0,0,0
transportation,NR9,0,179234652,0,0,78549250,0,0,0,0
transportation,NR10,0,0,93766995,0,0,0,0,0,0
transportation,NR11,0,40669798,395605893,0,61421811,10594282,0,0,0
transportation,NR12,0,0,0,747,0,13988330,124635963,0,0
transportation,NR13,0,0,46357981,56881577,0,0,0,0,0
transportation,NR14,0,0,0,0,145279113,87295964,0,0,0
transportation,NR15,0,0,0,0,5824181,207073184,0,0,0
transportation,NR16,0,0,0,0,301377026,8752,0,0,0
transportation,NR17,0,0,0,62790803,0,0,656941,2113,0
transportation,NR18,0,0,0,5238723,0,0,125097444,7219702,0
transportation,NR19,0,0,0,0,0,0,5970822,116459369,3497186
transportation,NR20,0,0,0,0,0,0,0,0,257399929
transportation,NR21,0,0,0,0,0,0,0,88751104,141163401
transportation,NR22,0,0,0,2533652,0,0,0,58857661,0
